Código ;DIA;MES;AÑO;RESPONSABLE;ESTRATEGA_VAR_00A;ESTRATEGA_VAR_01A;ESTRATEGA_VAR_01B;ESTRATEGA_VAR_02A;ESTRATEGA_VAR_03_A;ESTRATEGA_VAR_03_B;ESTRATEGA_VAR_04;ESTRATEGA_VAR_05;DETALLES_ACTIVIDAD
483;22;2;2016;3;1;1;3;18;3;301;1;1;titular: PPK, ACUÑA Y ALAN BAJAN, KEIKO SIGUE PRIMERO Y MORADITO ESTA SEGUNDO PERO EN DUDA. 
488;22;2;2016;3;1;3;3;75;3;301;1;1;TITULAR: Keiko sigue al frente, tiene el 30% votos. 
493;22;2;2016;3;1;3;8;50;4;409;1;1;PEPITAS: El ùltimo sàbado, Keiko estuvo en SJL, donde jugò un partido de vòley al costado de sus candidatos al Congreso…. 
494;22;2;2016;3;1;1;1;47;3;303;1;1;el bùho: pasarìa a segunda vuelta con moradito… 
518;25;2;2016;3;1;1;1;89;10;1001;0;1;el bùho: LOS QUE LLORAN POR MORADITO.- Keiko es la màs afectada
522;26;2;2016;3;1;3;3;8;3;303;1;1;EL 73% DE LA POBLACIÒN CREE QUE JULIO GUZMÀN Y KEIKO PASARAN A SEGUNDA VUELTA. 
536;28;2;2016;3;1;3;7;46;7;714;0;1;Titular: KEIKO: TENGO LOS PANTALONES BIEN PUESTOS PARA DAR SEGURIDAD A LA POBLACIÒN (Dice que cuenta con un plan para combatir a sicarios, asesinos y marcas. 
541;29;2;2016;3;1;1;1;43;4;421;0;1;EL BÙHO: keiko cruza los dedos para que saquen a Guzman . Una segunda vuelta contra la antorcha, puede repertile su debacle en el 2010 
552;1;3;2016;3;1;3;6;243;4;421;1;1;"titular: ""keiko responde a Vargas Llosa"" (ella dice que novelista debiò estar en el Perù como garante de Humala"" "
554;1;3;2016;3;1;3;8;14;4;421;0;1;pepitas: en las redes sociales colgaron una foto de perrito al  que le han pintado una 'K' y la palabra Keiko. Califican el hecho como repudiable.. Noooooo… 
560;2;3;2016;3;1;3;6;124;9;909;1;1;"TITULAR: ""Keiko cuadra a Humala por huaicos"" (pide que no se ponga de costado) "
566;3;3;2016;3;1;3;1;68;4;402;0;1;"TITULAR: ""lanzan huevos a comitiva de Keiko"" "
572;4;3;2016;3;1;3;8;128;4;409;1;1;"TITULAR: Susana Higuchi pide votar por Keiko"" en Chimbote por los mercados. "
578;5;3;2016;3;1;3;3;16;3;305;1;1;"ENCUESTA: ""el 26% de los ciudadanos esta de acuerdo que involucren a Susana Higuchi en la campaña de Keiko"" "
581;5;3;2016;3;1;3;6;69;4;421;1;1;titular: Faltan menos de 37 dìas para elecciones. Keiko pide que se resuelva ràpido. 
599;7;3;2016;3;1;3;6;60;4;407;0;1;TITULAR: Toledo pide que investiguen a Keiko (por entregar dinero) 
628;10;3;2016;3;1;3;8;70;4;413;0;1;titular:piden exclusiòn de Keiko. (por redes sociales.) 
634;10;3;2016;3;1;3;8;16;4;407;0;1;"pepitas: ""mientras Kenji tiene problemas, su hermana negò haber entregado dinero en efectivo durante la prsente contienda electoral. "
642;11;3;2016;3;1;3;6;56;4;421;0;1;titular: KEIKO: no creo que gane en primera vuelta. (no se confìa) 
644;11;3;2016;3;1;3;3;16;3;305;1;1;encuesta: el 38% de los ciudadanos cree que Keiko ganarà en primera vuelta. 
649;12;3;2016;3;1;3;1;128;10;1001;0;1;TITULAR:miles gritan KEIKO NO VA. 
655;13;3;2016;3;1;3;1;107;4;407;1;1;titular: Jurado limpia a Keiko. (por entrega de dinero) 
657;14;3;2016;3;1;1;3;8;3;301;1;1;encuesta: Keiko primera y PPK segundo. Detràs de ellos van Barnechea y Verònika. (SEGÙN ENCUESTA DE IPSOS) . 
661;14;3;2016;3;1;3;3;92;3;301;1;1;TITULAR: BARNECHEA Y VERONIKAA VIENEN CON FUERZAA. (KEIKO SIGUE PRIMERA CON 32%)
666;14;3;2016;3;1;3;1;170;4;408;0;1;TITULAR: bronca por mitin de keiko en chimbote 
669;14;3;2016;3;1;3;1;50;4;421;0;1;TITULAR: guzmàn cruza los dedos y peligra plancha de Keiko 
671;15;3;2016;3;1;3;3;16;3;305;1;1;encuesta: el 78% de los ciudadanos no creen que el Jurado debe tachar a Keiko. 
676;15;3;2016;3;1;3;1;245;10;1001;0;1;TITULAR: Màs tachas contra Keiko. (ant el Jurado) 
678;16;3;2016;3;1;1;1;42;4;407;0;1;"TITULAR: ""miles marchan contra Keiko"" "
679;16;3;2016;3;1;3;1;333;4;407;0;1;"TITULAR: ""miles marchan contra Keiko"" (Exigen al Jurado que la excluya por entregar dinero a cambio de votos) "
683;16;3;2016;3;1;3;8;7;8;802;0;1;"TUIT: ""De lo ùnico que cualquier virgencita debiò proteger a Keiko fue recibir plata de Montesinos, pero ya sabemos còmo terminò eso…"" "
687;17;3;2016;3;1;3;6;272;4;421;0;1;"TITULAR: ""KEIKO: Nadine està detràs de marchas"" "
688;18;3;2016;3;1;1;1;35;4;421;0;1;"TITULAR: ""hoy dan fallo a Keiko"" (por entrega de dinero en campaña) "
689;18;3;2016;3;1;3;1;312;4;421;0;1;"TITULAR: ""Keiko tiembla"" (Jurado definirìa hoy su se le abre proceso de exclusiòn o no)"
692;18;3;2016;3;1;3;8;16;4;401;1;1;"TITULAR: ""'Keiko se mantiene primera con 33%... ) "
695;19;3;2016;3;1;1;1;345;4;421;0;1;"TITULAR: ""''Keiko en capilla. ""( presentarà sus descargos y podrìa quedar fuera de carrera) "
696;19;3;2016;3;1;3;1;370;4;421;0;1;"TITULAR: ""''Keiko en capilla. ""( su candidatura corre peligro) "
697;19;3;2016;3;1;3;8;7;4;421;0;1;"TUIT: ""No me alegra ni me apena la situaciòn de Keiko Fujimori. Lo ùnico que espero es que JNE sea justo y equitativo"" "
702;19;3;2016;3;1;3;8;14;10;1001;0;1;"PEPITAS: "" Colectivo 'KEIKO NO VA' anunciò que el 5 de abril haràn una marcha pacìfica en todo el Perù"""
708;21;3;2016;3;1;3;1;128;4;407;0;1;"TITULAR: ""no entreguè dinero ni violè ley "
711;22;3;2016;3;1;1;1;38;4;421;0;1;"TITULAR: ""Keiko en manos del Jurado"" "
712;22;3;2016;3;1;3;1;280;4;421;0;1;"TITULAR: ""Keiko en manos del Jurado"" "
719;23;3;2016;3;1;3;1;58;10;1001;0;1;"TITULAR: ""Por fallo de Jurado Keiko cruza los dedos"" "
723;24;3;2016;3;1;3;1;38;4;407;0;1;"TITULAR: ""Keiko  y PPK cruzan los dedos"" (por dàdivas) "
727;25;3;2016;3;1;1;1;32;4;421;0;1;"TITULAR: ""Keiko sigue en carrera""  (Jurado dio fallo de madrugada)"
728;25;3;2016;3;1;3;1;370;4;421;0;1;"TITULAR: ""Keiko sigue en carrera""  (Jurado dio fallo de madrugada)"
730;25;3;2016;3;1;3;8;12;4;413;0;1;"PEPITAS: ""'y los infaltables 'memes' no se hicieron esperar. El màs comentado fue uno de Keiko"" "
733;26;3;2016;3;1;3;1;128;10;1001;0;1;"PEPITAS: ""Anunian protestas contra Keiko"" "
736;28;3;2016;3;1;1;3;11;3;301;1;1;"TITULAR: ""Keiko sigue arriba, Barnechea baja. PPK segundo y Verònika tercera"" "
743;28;3;2016;3;1;3;3;101;3;301;1;1;"TITULAR: ""Keiko obtiene el 32.1%"""
747;29;3;2016;3;1;3;1;247;10;1001;1;1;"TITULAR: ""Keiko: serìa ideal segunda vuelta entre mujeres"" "
749;29;3;2016;3;1;3;8;20;4;413;0;1;"PEPITAS: ""en las redes sociales Barnechea le da con palo al fujimorismo."" "
753;30;3;2016;3;1;3;6;128;4;421;1;1;"TITULAR: ""KEIKO:no le voy a dar el gusto a Nadine"" "
755;30;3;2016;3;1;3;8;16;4;413;0;1;"PEPITAS: ""en Fb y Twitter convocan a una marcha contra Keiko…"" "
758;31;3;2016;3;1;3;8;56;10;1001;0;1;TITULAR: obispo de chimbote: bambarèn nunca votarìa por Keiko. 
761;1;4;2016;3;1;3;6;72;4;421;0;1;"TITULAR: ""PPK: se busca que corona pase de padre a hija"" (se manda contra Keiko) "
768;2;4;2016;3;1;3;1;58;4;421;1;1;"TITULAR: ""Keiko sigue en carrera"" (el pleno del JNE comfirmò la decisiòn del JEE Lima Centro 1, que declarò infundada la solicitud de exclusiòn contra Keiko"" "
771;3;4;2016;3;1;3;8;302;1;109;0;1;Especialista en lectura de rostro analiza a los candidatos. KEIKO, PPK, VERO, BARNECHEA Y ALAN (caras vemos, corazones no sabemos) (Rosa Marìa aclara que no tiene afinidad por ningùn candidato, solo define su personalidad a travès de sus rasgos fìsicos ) 
780;5;4;2016;3;1;3;1;290;4;420;0;1;titularr: marchan contra Keiko (colectivos realizan manifestaciòn al cumplirse un año màs del autogolpe del 5 de Abril  de 1992, cuando Fujimori disolviò el Congreso) 
782;6;4;2016;3;1;1;8;500;4;421;0;1;"TITULAR: ""miles gritan contra Keiko"" (pidieron que no se produzca otro 5 de Abril"" "
783;6;4;2016;3;1;3;8;490;4;421;0;1;"TITULAR: ""miles en marcha contra Keiko"" (pidieron que no se produzca otro 5 de Abril) "
787;7;4;2016;3;1;1;6;28;5;502;1;1;TITULAR: Keiko jura que no sacarà a su papi. 
788;7;4;2016;3;1;3;6;267;5;502;1;1;TITULAR: Keiko: no voy a liberar a mi padre
790;7;4;2016;3;1;3;6;60;4;421;0;1;TITULAR: Barnechea dispara contra el fujimorismo 
793;8;4;2016;3;1;1;1;20;4;421;1;1;"TITULAR: ""candidatos cerraron sus campañas"" keiko, alan, ppk, vero y barnechea. "
799;8;4;2016;3;1;3;1;81;4;421;1;1;TITULAR:cierran campaña y cruzan dedos. (keiko, ppk, vero, barnechea y Alan) 
807;15;5;2016;3;1;3;8;780;4;401;0;1;"TITULAR: ""El principal rival de keiko es el antifujimorismo"" Carlos Melèndez afirma que el principal problelma de PPK no es la edad, sino que no ha construido una organizaciòn polìtica sòlida. "
809;16;5;2016;3;1;3;3;191;3;301;1;1;"TITULAR: ""Keiko y PPK pelean por votos"" (PPK obtiene el 49.8% y Keiko el 50.2% )"
813;17;5;2016;3;1;1;6;32;8;804;0;1;TITULAR: Keiko culpa a PPk (dice que nunca entregò dinero a Joaquìn Ramirez, denucnia guerra sucia) 
814;17;5;2016;3;1;3;6;338;8;804;0;1;TITULAR: Keiko culpa a PPk (dice que nunca entregò dinero a Joaquìn Ramirez, denucnia guerra sucia) 
816;18;5;2016;3;1;1;8;49;4;402;0;1;"TITULAR: ""piden que Keiko separe a Joaquìn Ramirez"""
817;18;5;2016;3;1;3;8;395;4;402;0;1;"TITULAR: ""piden que Keiko separe a Joaquìn Ramirez"""
819;19;5;2016;3;1;1;6;43;4;402;0;1;TITULAR: Joaquìn Ramirez dio un paso al costado. Keiko confirmo que pidio licencia a su partido. 
820;19;5;2016;3;1;3;6;330;4;402;0;1;TITULAR: Joaquìn Ramirez dio un paso al costado. Keiko confirmo que pidio licencia a su partido. 
822;20;5;2016;3;1;3;6;312;4;401;0;1;TITULAR: PPK: Son una tira de improvisados (crtico al equipo de FP.) 
823;22;5;2016;3;1;1;8;26;3;304;0;1;"TITULAR: PPK: Chaparro dice que debate de hoy es clave ""seràn dos gallos en pelean"" "
826;22;5;2016;3;1;3;8;805;3;304;0;1;"TITULAR: PPK: Chaparro dice que debate de hoy es clave ""seràn dos gallos en pelean"" "
827;23;5;2016;3;1;1;8;242;3;304;0;1;TITULAR: PPKy Keiko se sacaron los trapitos en pleno debate
830;23;5;2016;3;1;3;8;264;3;304;0;1;TITULAR: PPKy Keiko se dieron duro en el debate
831;23;5;2016;3;1;3;3;175;3;301;1;1;TITULAR: china saca 5 puntos a gringo. 
832;24;5;2016;3;1;1;6;37;3;304;0;1;TITULAR: gringo cie que china sacò metralleta de Montesinos. Keiko y PPK se tiran barro.
833;24;5;2016;3;1;3;6;234;3;304;0;1;TITULAR: gringo dice que china sacò metralleta de Montesinos. Keiko y PPK se tiran barro.
834;24;5;2016;3;1;3;8;273;3;301;1;1;TITULAR: Keiko capta votos de iindecisos. 
835;25;5;2016;3;1;3;8;84;10;1001;1;1;TITULAR: keiko celebra sus 41 años
836;25;5;2016;3;1;3;6;94;8;801;0;1;"TITULAR:gringo a su rival: ""aclare vinvulos con narcotràfico"" "
838;27;5;2016;3;1;1;3;48;3;301;1;1;TITULAR: Kekio saca 8 puntos a PPK (54,2 a 45,8) 
839;27;5;2016;3;1;3;3;284;3;301;1;1;TITULAR: Kekio saca 8 puntos a PPK (54,2 a 45,8) Keiko capta voto joven
841;28;5;2016;3;1;1;8;15;4;415;1;1;keiko y ppk buscan votos en provincias 
844;28;5;2016;3;1;3;8;147;4;415;1;1;TITULAR: keiko y ppk buscan votos en provincias (LA LUCHA ES POR ELECTORES INDECISOS) 
845;28;5;2016;3;1;3;6;81;1;101;1;1;"TITULAR: CHINA: ""irè al debate con firmeza. "
847;29;5;2016;3;1;1;7;33;4;406;1;1;"TITULAR: Keiko: ""voy a poner mano dura contra la delincuencia"" "
848;29;5;2016;3;1;3;7;1457;4;406;1;1;"TITULAR: Keiko: ""voy a poner mano dura contra la delincuencia"" "
849;30;5;2016;3;1;1;8;18;3;304;0;1;TITULAR: Keiko y PPK fueron puro golpe. 
852;30;5;2016;3;1;3;8;268;3;304;0;1;TITULAR: Keiko y PPK fueron puro golpe. 
856;1;6;2016;3;1;1;8;36;4;421;0;1;TITULAR: Miles marchan contra Keiko 
857;1;6;2016;3;1;3;8;357;4;421;0;1;TITULAR: Miles marchan contra Keiko 
861;2;6;2016;3;1;3;8;7;10;1001;0;1;tuit: ¿se imaginan a keiko ganar? Tiene al gobierno en contra, marchas medios de comunicaciòn, etc. 
862;3;6;2016;3;1;1;6;20;4;421;1;1;titular: keiko y ppk disparan ultimas balas 
865;3;6;2016;3;1;3;6;147;4;421;1;1;titular: keiko y ppk cerrraon campañas. 
866;4;6;2016;3;1;1;8;14;4;421;1;1;titular: keiko y ppk listos àra el dia D
869;4;6;2016;3;1;3;8;151;4;421;1;1;titular: keiko y ppk listos àra el dia D (mañana elecciones)
