sbs_id;facexp;departamento;provincia;sexo;p3;p6;leerescribir;niveleducativo;distanciaOficina;distanciaCajero;distanciaAgente;usocajero;vecescajero;ServFInternet;CategoriaIngreso;PagoAlimentacion;PagoSalud;PagoEducacion;PagoServiciosHogar;PagoDeudas;PagoVivienda;PagoEntretenimiento;CuentaAhorro;CuentaPlazo;CuentaCTS;PropensionAhorro;Entidad Credito;PropensionCredito;MotivoNoPropensionCredito;TarjetaCredito;EducacionFinanciera
2836;3230;Lima;Lima;Mujer;67;Castellano;Sí;Secund. completa;10;10;3;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;;;En efectivo;En efectivo;;;Sí;No;No;Banco de la nación;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Bajo nivel
2837;4321;Lima;Lima;Hombre;40;Castellano;Sí;Secund. completa;8;8;2;Sí;3;No;De  S/ 750 hasta menos de S/ 1,022;En efectivo;;;En efectivo;;;;Sí;No;Sí;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2838;5401;Lima;Lima;Hombre;33;Castellano;Sí;Sup. no universitaria completa;10;10;3;No;;No;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;En efectivo;;;No;No;No;Banco privado;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Bajo nivel
2839;2161;Lima;Lima;Hombre;38;Castellano;Sí;Sup. no universitaria completa;10;10;5;No;;No;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2840;2161;Lima;Lima;Hombre;27;Castellano;Sí;Sup. no universitaria completa;10;10;5;No;;No;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2841;4321;Lima;Lima;Hombre;18;Castellano;Sí;Sup. universitaria incompleta;10;10;5;No;;No;;;;;;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2842;12382;Lima;Lima;Mujer;45;Castellano;Sí;Secund. completa;10;10;5;Sí;6;;;En efectivo;En efectivo;;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2843;16564;Lima;Lima;Hombre;65;Castellano;Sí;Sup. universitaria completa;10;10;5;No;;No;De  S/ 1,500 hasta menos de S/ 2,100;En efectivo;En efectivo;;En efectivo;;;En efectivo;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2844;16564;Lima;Lima;Hombre;69;Castellano;Sí;Sup. no universitaria completa;10;10;3;Sí;24;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;;;En efectivo;;;En efectivo;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2845;18573;Lima;Lima;Mujer;19;Castellano;Sí;Secund. completa;10;10;10;No;;No;De  S/ 1,500 hasta menos de S/ 2,100;En efectivo;;;En efectivo;;;En efectivo;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2846;24846;Lima;Lima;Hombre;49;Castellano;Sí;Sup. no universitaria completa;3;3;2;No;;No;De  S/ 1,500 hasta menos de S/ 2,100;En efectivo;En efectivo;;;;;;Sí;No;No;Banco privado;No solicito;Cuotas que pueda pagar;No necesito;No;Nivel Alto
2847;12382;Lima;Lima;Mujer;30;Castellano;Sí;Sup. universitaria completa;5;3;3;Sí;12;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;;En efectivo;En efectivo;;En efectivo;En efectivo;Sí;No;Sí;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2848;33128;Lima;Lima;Hombre;19;Castellano;Sí;Sup. no universitaria incompleta;10;10;5;Sí;12;No;;;;;;;;;No;No;No;Banco privado;No solicito;Trámite rápido y préstamo a tiempo;No creo que me den;No;Nivel Alto
2849;30955;Lima;Lima;Mujer;48;Castellano;Sí;Secund. completa;15;5;3;Sí;10;;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;En efectivo;En efectivo;;;En efectivo;Sí;No;No;Banco privado;No solicito;Cuotas que pueda pagar;No necesito;No;Bajo nivel
2850;3538;Lima;Lima;Mujer;59;Castellano;Sí;Secund. completa;15;15;5;No;;;;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2851;3538;Lima;Lima;Mujer;57;Castellano;Sí;Secund. completa;10;10;5;Sí;3;No;;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;Sí;Nivel Alto
